id,item,category,price,quantity,total,customer_name,order_date,payment_method,status
1,Carrot Cake,Wedding,41.97,1,41.97,Rami Fares,2025-05-21,Cash,Delivered
2,Carrot Cake,Wedding,39.52,1,39.52,Tarek Nassif,2025-02-17,Cash,Pending
3,Tiramisu Cake,Regular,45.8,5,229.0,Omar Saleh,2025-04-23,Cash,Pending
4,Carrot Cake,Anniversary,44.91,3,134.73,Sara Mansour,2025-03-21,Cash,Processing
5,Chocolate Cake,Custom,14.84,3,44.52,Tarek Nassif,2025-05-16,Cash,Processing
6,Marble Cake,Wedding,13.94,3,41.82,Dana Khoury,2025-07-05,Cash,Delivered
7,Cheesecake,Custom,43.06,3,129.18,Omar Saleh,2025-04-30,Online Transfer,Cancelled
8,Cheesecake,Regular,18.13,3,54.39,Hassan Ali,2025-05-17,Credit Card,Pending
9,Carrot Cake,Anniversary,18.17,4,72.68,Nadine Farhat,2025-10-13,Cash,Pending
10,Cheesecake,Wedding,51.09,3,153.27,Jad Sarkis,2025-05-18,Debit Card,Pending
11,Red Velvet Cake,Anniversary,42.77,4,171.08,Rami Fares,2025-08-23,Credit Card,Cancelled
12,Lemon Cake,Wedding,47.35,4,189.4,Rami Fares,2025-07-24,Online Transfer,Delivered
13,Black Forest Cake,Regular,47.79,1,47.79,Sara Mansour,2025-03-23,Online Transfer,Processing
14,Fruit Cake,Birthday,39.79,4,159.16,Hassan Ali,2025-05-09,Cash,Cancelled
15,Black Forest Cake,Wedding,48.43,3,145.29,Maya Chami,2025-05-31,Cash,Cancelled
16,Vanilla Cake,Regular,58.59,2,117.18,Rania Deeb,2025-02-24,Credit Card,Pending
17,Chocolate Cake,Regular,28.7,2,57.4,Nour Assaf,2025-09-29,Online Transfer,Delivered
18,Carrot Cake,Birthday,15.59,3,46.77,Layla Hamdan,2025-06-07,Cash,Delivered
19,Red Velvet Cake,Wedding,46.6,1,46.6,Hassan Ali,2025-09-30,Online Transfer,Pending
20,Fruit Cake,Wedding,23.25,5,116.25,Dana Khoury,2025-04-19,Debit Card,Processing
21,Tiramisu Cake,Birthday,59.76,3,179.28,Layla Hamdan,2025-09-22,Credit Card,Delivered
22,Marble Cake,Wedding,26.9,5,134.5,Ahmad Khalil,2025-04-28,Cash,Delivered
23,Cheesecake,Regular,21.45,1,21.45,Layla Hamdan,2025-06-19,Debit Card,Processing
24,Marble Cake,Custom,20.71,2,41.42,Layla Hamdan,2025-10-20,Online Transfer,Processing
25,Lemon Cake,Custom,19.52,1,19.52,Karim Yousef,2025-08-09,Online Transfer,Delivered
26,Lemon Cake,Birthday,43.67,1,43.67,Layla Hamdan,2025-07-26,Credit Card,Pending
27,Vanilla Cake,Custom,36.81,2,73.62,Layla Hamdan,2025-04-04,Cash,Processing
28,Fruit Cake,Birthday,50.4,5,252.0,Sara Mansour,2025-01-26,Credit Card,Pending
29,Chocolate Cake,Wedding,30.32,4,121.28,Karim Yousef,2025-07-25,Cash,Processing
30,Fruit Cake,Custom,23.26,4,93.04,Rami Fares,2025-08-05,Credit Card,Cancelled
31,Chocolate Cake,Anniversary,20.89,1,20.89,Ahmad Khalil,2025-10-05,Cash,Processing
32,Fruit Cake,Birthday,35.14,5,175.7,Nadine Farhat,2025-01-30,Credit Card,Delivered
33,Marble Cake,Wedding,39.75,2,79.5,Rania Deeb,2025-03-03,Cash,Delivered
